settings,validation,test,training time,inference time
Optimized,0.9796666502952576,0.9803000092506409,22.395106554031372,0.3405458927154541
Default,0.9611666798591614,0.9516000151634216,8.044635534286499,0.38933444023132324
Optimized,0.9818333387374878,0.9815000295639038,23.478177547454834,0.3417236804962158
Default,0.9628333449363708,0.9517999887466431,7.94641900062561,0.3914029598236084
Optimized,0.9825000166893005,0.9811000227928162,24.22656273841858,0.3600349426269531
Default,0.9606666564941406,0.9498000144958496,7.870198011398315,0.37799787521362305
Optimized,0.9808333516120911,0.9793000221252441,22.535210847854614,0.3819725513458252
Default,0.9638333320617676,0.95660001039505,7.9341981410980225,0.36162281036376953
Optimized,0.9816666841506958,0.9803000092506409,24.782914876937866,0.3501121997833252
Default,0.9633333086967468,0.9546999931335449,7.876695394515991,0.4083404541015625
Init,0.98416668176651,0.982200026512146,24.308496952056885,0.3379964828491211
Init,0.9835000038146973,0.9824000000953674,24.09448504447937,0.3462049961090088
Init,0.9829999804496765,0.9811999797821045,22.589300632476807,0.3295016288757324
Init,0.9850000143051147,0.982200026512146,22.930203199386597,0.34357118606567383
Init,0.9825000166893005,0.9817000031471252,23.614980697631836,0.3491852283477783
Batch,0.8510000109672546,0.8309000134468079,8.137933731079102,0.36319494247436523
Batch,0.8556666374206543,0.8402000069618225,8.023038864135742,0.3616151809692383
Batch,0.8478333353996277,0.8384000062942505,8.039640665054321,0.3700108528137207
Batch,0.9026666879653931,0.8844000101089478,8.082143306732178,0.35765719413757324
Batch,0.8133333325386047,0.7910000085830688,8.18034815788269,0.34740281105041504
Input,0.9711666703224182,0.9710999727249146,23.877859830856323,0.346904993057251
Input,0.9729999899864197,0.9700999855995178,23.68433713912964,0.3520026206970215
Input,0.971833348274231,0.9659000039100647,24.548282384872437,0.35105109214782715
Input,0.9698333144187927,0.9674999713897705,24.798120737075806,0.3520629405975342
Input,0.971833348274231,0.9717000126838684,22.284905672073364,0.33463191986083984
Activation,0.10499999672174454,0.11349999904632568,24.314930200576782,0.34894323348999023
Activation,0.10499999672174454,0.11349999904632568,24.08696413040161,0.34947991371154785
Activation,0.10499999672174454,0.11349999904632568,23.98932456970215,0.33513903617858887
Activation,0.10499999672174454,0.11349999904632568,22.90906310081482,0.347318172454834
Activation,0.10499999672174454,0.11349999904632568,24.29308795928955,0.3398566246032715
Loss,0.9828333258628845,0.9810000061988831,24.080244541168213,0.3630340099334717
Loss,0.9835000038146973,0.9800999760627747,23.56798005104065,0.3463573455810547
Loss,0.9828333258628845,0.9789999723434448,24.68732213973999,0.3422262668609619
Loss,0.9823333621025085,0.9786999821662903,22.689372777938843,0.3432152271270752
Loss,0.9791666865348816,0.9783999919891357,24.467462062835693,0.3365466594696045
